avg_hp,average_performance,average_torque,average_cc_capacity,average_total_speed,diesel,petrol,hybrid,electric,europe,asia,america,car_count
116.94326241134752,11.269858156028368,179.97517730496455,1590.8581818181817,175.74822695035462,35,228,11,8,0,0,0,282
218.01098901098902,7.957692307692307,339.6263736263736,2338.457925636008,204.1978021978022,75,371,66,34,0,0,0,546
373.6967741935484,6.181935483870968,658.0032258064516,3989.8396946564885,221.30645161290323,28,223,15,44,0,0,0,310
559.2,4.28695652173913,1246.486956521739,4333.634408602151,276.2,5,78,15,17,0,0,0,115
760.7176470588236,3.6329411764705886,866.2470588235294,5990.505882352942,315.05882352941177,0,80,5,0,0,0,0,85
